parameter,value
intercept,-7.7090615635293815
T,1.344352494401965
W,-0.008402146841694493
Wd,-2.4874277409421205e-05
RH,0.029247957500763228
P,-0.1285817163474327
Prec,0.02100388324926622
Cloud,0.003444201339581538
sin_day,0.042750555113709676
cos_day,-0.277663306914829
sin_year,-0.5188470067094109
cos_year,-1.2449030796119658
T_lag1,-0.26499087567426277
T_lag2,-0.09835153850864171
T_lag3,-0.016930046544569997
T_lag6,0.014398732195838284
T_lag12,-0.0022031874468052817
T_lag24,-0.00022874867519964703
W_lag1,0.004706649412191143
W_lag3,0.006169309217764129
W_lag6,0.004952628260813787
W_lag12,-0.0025959048684148778
W_lag24,0.0006711427041752559
RH_lag1,-0.007187511255909176
P_lag1,0.13549764120077762
Cloud_lag1,-0.002801097587481349
Prec_lag1,-0.04823999135359466
